XXXX0000;-------- FRANCE ---------
FRXX5748;Gratentour
FRXX5926;Graulhet
FRXX5885;Gravelines
FRXX5431;Graveson
FRXX4453;Gravon
FRXX0424;Gray
FRXX3182;Graye-sur-Mer
FRXX1843;Greasque
FRXX1309;Grenade
FRXX1970;Grenay
FRXX1256;Greneville-en-Beauce
FRXX2728;Grenier-Montgon
FRXX0153;Grenoble
FRXX2403;Greoux-les-Bains
FRXX0441;Gresse-en-Vercors
FRXX2708;Gresy-sur-Aix
FRXX1415;Greville-Hague
FRXX5357;Grez-en-Bouere
FRXX4593;Grez-sur-Loing
FRXX2551;Grignan
FRXX4324;Grignols
FRXX3814;Grigny
FRXX4209;Grigny
FRXX2034;Grimaud
FRXX2676;Gripp
FRXX5276;Grisy-les-Platres
FRXX1895;Grisy-Suisnes
FRXX3391;Groffliers
FRXX3703;Groissiat
FRXX2904;Groix
FRXX3783;Grosbliederstroff
FRXX4659;Groslay
FRXX2483;Grosley-sur-Risle
FRXX6192;Grosseto-Prugna
FRXX6650;Grouches-Luchuel
FRXX5819;Gruchet-le-Valasse
FRXX2667;Gruchet-Saint-Simeon
FRXX1579;Gruge-l'Hopital
FRXX1010;Grugies
FRXX2392;Gruissan
FRXX2226;Gruson
FRXX1231;Guchen
FRXX3406;Gueblange-les-Dieuze
FRXX1913;Guebwiller
FRXX1916;Guemar
FRXX5721;Guemene-Penfao
FRXX2945;Guenin
FRXX0310;Guer
FRXX4240;Guerande
FRXX3743;Guerchy
FRXX5445;Guerlesquin
FRXX4157;Guermantes
FRXX2804;Guerville
FRXX4406;Guesnain
FRXX3407;Guessling-Hemering
FRXX5603;Guethary
FRXX0410;Gueugnon
FRXX5164;Guewenheim
FRXX6047;Gugney-aux-Aulx
FRXX6317;Guiche
FRXX4601;Guichen
FRXX6639;Guidel
FRXX5630;Guignes
FRXX1045;Guilers
FRXX0375;Guilvinec
FRXX1274;Guines
FRXX1071;Guingamp
FRXX6755;Guipavas
FRXX3518;Guipry
FRXX2381;Guiry-en-Vexin
FRXX2903;Guiscriff
FRXX4094;Guise
FRXX5224;Guisseny
FRXX1087;Guitera-les-Bains
FRXX4456;Gujan-Mestras
FRXX6049;Gurgy
FRXX2816;Guyancourt
FRXX0438;Guzet
FRXX6430;Habas
FRXX1669;Hablainville
FRXX5967;Hadigny-les-Verrieres
FRXX4923;Hagondange
FRXX0042;Haguenau
FRXX1207;Haillicourt
FRXX5146;Haisnes
FRXX3009;Hallennes-lez-Haubourdin
FRXX5915;Halloy-les-Pernois
FRXX4403;Halluin
FRXX2920;Ham
FRXX5191;Hambach
FRXX5973;Hambye
FRXX4500;Hamel
FRXX1332;Ham-en-Artois
FRXX5161;Ham-sous-Varsberg
FRXX6025;Handschuheim
FRXX5163;Hangenbieten
FRXX4477;Hangest-en-Santerre
FRXX5202;Hangest-sur-Somme
FRXX3253;Hannappes
FRXX6644;Harbonnieres
FRXX1105;Harcourt
FRXX3627;Hardinghen
FRXX2012;Hardivillers
FRXX3414;Harfleur
FRXX1909;Hargarten-aux-Mines
FRXX3255;Haricourt
FRXX4223;Harnes
FRXX3836;Harreville-les-Chanteurs
FRXX6629;Hartzviller
FRXX3674;Haselbourg
FRXX6672;Hasnon
FRXX6312;Hasparren
FRXX4102;Haspres
FRXX6564;Hatten
FRXX1479;Haucourt-Moulaine
FRXX4409;Haussy
FRXX2608;Hautecourt-Romaneche
FRXX1740;Hautefort
FRXX6440;Haute-Goulaine
FRXX5775;Haute-Indre
FRXX0228;Hauteluce
FRXX4766;Hauterives
FRXX4402;Haute-Vigneulles
FRXX1900;Hauteville-les-Dijon
FRXX0413;Hauteville-Lompnes
FRXX3455;Haut-Mainil
FRXX2776;Hautmont
FRXX1981;Hautot-sur-Mer
FRXX1431;Havange
FRXX1434;Haveluy
FRXX4384;Hayange
FRXX2847;Haynecourt
FRXX1888;Hazebrouck
FRXX6569;Hebecrevon
FRXX3030;Hede
FRXX2789;Heiligenstein
FRXX3373;Heimsbrunn
FRXX4924;Heining-les-Bouzonville
FRXX5607;Helette
FRXX1333;Helfaut
FRXX1435;Hellemmes-Lille
FRXX4631;Hem
FRXX2206;Hem-Monacu
FRXX1227;Hendaye
FRXX3453;Hendecourt-les-Cagnicourt
FRXX4945;Hendecourt-les-Ransart
FRXX2852;Henin-Beaumont
FRXX5866;Henin-sur-Cojeul
FRXX1497;Hennebont
FRXX2143;Henneveux
FRXX4991;Henonville
FRXX3242;Henrichemont
FRXX6574;Henridorff
FRXX2340;Herbeviller
FRXX3423;Herbeys
FRXX4987;Herbignac
FRXX6828;Herblay
FRXX6735;Hergnies
FRXX5050;Heric
FRXX3447;Hericourt-en-Caux
FRXX4896;Hericy
FRXX1343;Herlies
FRXX6202;Hermanville-sur-Mer
FRXX5772;Hermes
FRXX5414;Herouville-Saint-Clair
FRXX3235;Herouvillette
FRXX1149;Herpy-l'Arlesienne
FRXX4372;Herrlisheim
FRXX5089;Herrlisheim-pres-Colmar
FRXX2281;Herserange
FRXX4244;Hersin-Coupigny
FRXX2288;Hery
FRXX2205;Hescamps
FRXX2701;Hesdigneul-les-Bethune
FRXX6581;Hesdin
FRXX4344;Hesingue
FRXX2650;Hettange-Grande
FRXX4783;Heudicourt
FRXX6824;Heudicourt
FRXX5520;Heudreville-sur-Eure
FRXX4188;Heugleville-sur-Scie
FRXX4245;Heuringhem
FRXX1414;Heyrieux
FRXX5323;Hieres-sur-Amby
FRXX1795;Hiers-Brouage
FRXX6297;Hirel
FRXX2618;Hirsingue
FRXX1460;Hirtzbach
FRXX3643;Hoenheim
FRXX4419;Hoerdt
FRXX1712;Holnon
FRXX4435;Holtzheim
FRXX2654;Holving
FRXX4185;Hombourg-Haut
FRXX5362;Homecourt
FRXX2021;Hondainville
FRXX2435;Honfleur
FRXX1436;Honnecourt-sur-Escaut
FRXX5136;Honskirch
FRXX3944;Hopital-Camfrout
FRXX5946;Hornaing
FRXX5064;Houdain-lez-Bavay
FRXX2100;Houdan
FRXX5745;Houdancourt
FRXX1671;Houdemont
FRXX1558;Houesville
FRXX2083;Houilles
FRXX5139;Houplin-Ancoisne
FRXX6463;Houplines
FRXX3664;Houssen
FRXX6493;Hoymille
FRXX1141;Huanne-Montmartin
FRXX5359;Huelgoat
FRXX4275;Huez
FRXX6392;Hugleville-en-Caux
FRXX4575;Huisnes-sur-Mer
FRXX5867;Humbercamps
FRXX6614;Huningue
FRXX5661;Hurigny
FRXX1912;Husseren-Wesserling
FRXX4574;Hussigny-Godbrange
FRXX0154;Hyeres
FRXX3413;Ibos
FRXX6315;Idron
FRXX6474;Iffendic
FRXX2424;Ifs
FRXX1543;Igny
FRXX4024;Igoville
FRXX0155;Ile De Batz
FRXX0156;Ile Rousse
FRXX1499;Ile-aux-Moines
FRXX3979;Ile-d'Aix
FRXX1500;Ile-d'Arz
FRXX2508;Ile-de-Brehat
FRXX3956;Ile-de-Sein
FRXX6159;Ile-Molene
FRXX1047;Ile-Tudy
FRXX5309;Ille-sur-Tet
FRXX6240;Illiers-l'Eveque
FRXX2159;Illkirch-Graffenstaden
FRXX5812;Illzach
FRXX2089;Incheville
FRXX5059;Inchy
FRXX2637;Inchy-en-Artois
FRXX6597;Ingersheim
FRXX5385;Ingrandes
FRXX5875;Ingwiller
FRXX3436;Irigny
FRXX2662;Irissarry
FRXX4221;Isbergues
FRXX2690;Isdes
FRXX4628;Is-en-Bassigny
FRXX5363;Isigny-le-Buat
FRXX6130;Isigny-sur-Mer
FRXX3601;Isle
FRXX1523;Isle-Saint-Georges
FRXX6346;Isles-les-Villenoy
FRXX1679;Isles-sur-Suippe
FRXX0229;Isola
FRXX0499;Isola 2000
FRXX5382;Ispagnac
FRXX1288;Isse
FRXX2298;Issoire
FRXX5342;Issoudun
FRXX3356;Is-sur-Tille
FRXX4492;Issy-les-Moulineaux
FRXX0157;Istres
FRXX2153;Iteuil
FRXX5960;Itteville
FRXX5047;Itxassou
FRXX3483;Ivors
FRXX6235;Ivry-la-Bataille
FRXX6471;Ivry-le-Temple
FRXX4544;Ivry-sur-Seine
FRXX3630;Izaut-de-l'Hotel
FRXX2671;Izeaux
FRXX4167;Izel-les-Hameaux
FRXX6419;Jacob-Bellecombette
FRXX1880;Jacou
FRXX3766;Jallais
FRXX1807;Janville
FRXX4510;Janville-sur-Juine
FRXX2573;Janze
FRXX3831;Jard-sur-Mer
FRXX1301;Jargeau
FRXX4740;Jarnac-Champagne
FRXX5004;Jarrie
FRXX6807;Jarville-la-Malgrange
FRXX4129;Jassans-Riottier
FRXX1062;Jauldes
FRXX5870;Jaunay-Clan
FRXX2404;Jausiers
FRXX2747;Jaux
FRXX3093;Jeandelaincourt
FRXX5641;Jeansagniere
FRXX4307;Jeumont
FRXX5375;Jeuxey
FRXX6500;Job
FRXX3849;Joeuf
FRXX3090;Joinville
FRXX4546;Joinville-le-Pont
FRXX3107;Jonchery-sur-Vesle
FRXX4805;Jonquerets-de-Livet
FRXX1600;Jonquieres
FRXX5579;Jonquieres-Saint-Vincent
FRXX5889;Josselin
FRXX2974;Jouac
FRXX5633;Jouarre
FRXX2081;Jouars-Pontchartrain
FRXX4284;Joue-du-Bois
FRXX4442;Joue-les-Tours
FRXX2913;Jouet-sur-l'Aubois
FRXX1803;Jouques
FRXX6792;Joux-la-Ville
FRXX1331;Jouy-aux-Arches
FRXX6547;Jouy-en-Josas
FRXX1409;Jouy-le-Chatel
FRXX1696;Jouy-le-Moutier
FRXX4901;Jouy-le-Potier
FRXX5010;Jouy-sous-Thelle
FRXX1723;Juan-les-Pins
FRXX2186;Ju-Belloc
FRXX5527;Juillac
FRXX1230;Juillan
FRXX7003;Jujurieux
FRXX6589;Julienas
FRXX3103;Jullouville
FRXX3939;Jumilhac-le-Grand
FRXX4793;Jussy-le-Chaudrier
FRXX5588;Juvignac
FRXX6085;Juvigny-le-Tertre
FRXX5986;Juvisy-sur-Orge
FRXX5087;Juziers
FRXX2178;Kaysersberg
FRXX1487;Kedange-sur-Canner
FRXX1195;Kembs
FRXX1952;Kerbach
FRXX3953;Kerlouan
FRXX6551;Kertzfeld
FRXX4436;Kesseldorf
FRXX6595;Kilstett
FRXX6612;Kingersheim
FRXX2869;Kirrberg
FRXX3645;Krautergersheim
FRXX4149;Kruth
FRXX2888;Kunheim
FRXX3082;La Baconniere
FRXX2257;La Baffe
FRXX2080;La Balme-de-Sillingy
FRXX2047;La Baroche-sous-Luce
FRXX4652;La Barre-de-Monts
FRXX6812;La Barre-de-Semilly
FRXX2200;La Barre-en-Ouche
FRXX6371;La Barthe-de-Neste
FRXX5057;La Bassee
FRXX1532;La Bastide-de-Serou
FRXX4581;La Bastide-des-Jourdans
FRXX2384;La Bastide-Puylaurent
FRXX2307;La Bathie
FRXX5400;La Batie-Neuve
FRXX2008;La Baule-Escoublac
FRXX2482;La Baume-d'Hostun
FRXX5623;La Bazoche-Gouet
FRXX0043;La Bazoge
FRXX1659;La Begude-de-Mazenc
FRXX3043;La Bernardiere
FRXX5049;La Bernerie-en-Retz
FRXX4678;La Bocca
FRXX3227;La Bouilladisse
FRXX6015;La Bourboule
FRXX2512;La Bree-les-Bains
FRXX0514;La Bresse
FRXX3147;La Brillanne
FRXX3042;La Bruffiere
FRXX6679;La Bussiere-sur-Ouche
FRXX1398;La Cabanasse
FRXX1314;La Cadiere-d'Azur
FRXX0235;La Calvaire
FRXX1887;La Capelle
FRXX5451;La Capelle-Bonance
FRXX6562;La Celle-les-Bordes
FRXX2108;La Celle-Saint-Cloud
FRXX2238;La Celle-Saint-Cyr
FRXX1903;La Celle-sous-Gouzon
FRXX4468;La Celle-sur-Loire
FRXX6407;La Cellette
FRXX3472;La Chabossiere
FRXX3384;La Chaise-Dieu
FRXX2306;La Chaize-le-Vicomte
FRXX1665;La Chapelle-Anthenaise
FRXX6698;La Chapelle-aux-Bois
FRXX6591;La Chapelle-Baton
FRXX6258;La Chapelle-Bayvel
FRXX3081;La Chapelle-Craonnaise
FRXX6027;La Chapelle-d'Abondance
FRXX3477;La Chapelle-d'Armentieres
FRXX3838;La Chapelle-de-Guinchay
FRXX6385;La Chapelle-de-Mardore
FRXX5736;La Chapelle-du-Bard
FRXX3101;La Chapelle-en-Juger
FRXX3501;La Chapelle-en-Serval
FRXX6244;La Chapelle-en-Vercors
FRXX6154;La Chapelle-Faucher
FRXX2661;La Chapelle-Gaugain
FRXX1090;La Chapelle-Gauthier
FRXX5522;La Chapelle-Hugon
FRXX2263;La Chapelle-Hullin
FRXX5638;La Chapelle-la-Reine
FRXX2249;La Chapelle-Montbrandeix
FRXX4098;La Chapelle-Monthodon
FRXX1598;La Chapelle-Pouilloux
FRXX4413;La Chapelle-pres-Sees
FRXX6290;La Chapelle-Reanville
FRXX6190;La Chapelle-Saint-Geraud
FRXX3812;La Chapelle-Saint-Laurent
FRXX3294;La Chapelle-Saint-Luc
FRXX1982;La Chapelle-Saint-Mesmin
FRXX2780;La Chapelle-Saint-Sauveur
FRXX3261;La Chapelle-Saint-Ursin
FRXX1006;La Chapelle-sur-Chezy
FRXX4155;La Chapelle-sur-Crecy
FRXX1286;La Chapelle-sur-Erdre
FRXX3650;La Chapelle-sur-Loire
FRXX6667;La Chapelle-Vendomoise
FRXX3415;La Chartre-sur-le-Loir
FRXX0398;La Chatre
FRXX1525;La Chaussee-Saint-Victor
FRXX5367;La Chaussee-sur-Marne
FRXX2908;La Chaux-du-Dombief
FRXX2699;La Chevroliere
FRXX0178;La Chiappa
FRXX4746;La Ciotat
FRXX3440;La Clayette
FRXX0231;La Clusaz
FRXX4682;La Colle-sur-Loup
FRXX0412;La Cote-Saint-Andre
FRXX3981;La Couarde-sur-Mer
FRXX0179;La Coudre
FRXX5264;La Courneuve
FRXX3975;La Couronne
FRXX6239;La Couture-Boussey
FRXX5003;La Crau
FRXX6699;La Croix-aux-Mines
FRXX4891;La Croix-en-Brie
FRXX1373;La Croix-en-Touraine
FRXX1104;La Croix-Saint-Leufroy
FRXX4680;La Croix-sur-Roudoule
FRXX4271;La Croix-Valmer
FRXX2247;La Defense
FRXX3177;La Destrousse
FRXX6337;La Douze
FRXX1079;La Fare-les-Oliviers
FRXX6433;La Farlede
FRXX1015;La Faurie
FRXX6036;La Faute-sur-Mer
FRXX5315;La Ferriere
FRXX1445;La Ferriere-aux-Etangs
FRXX6041;La Ferriere-en-Parthenay
FRXX4029;La Ferriere-sur-Risle
FRXX1639;La Ferte-Alais
FRXX4191;La Ferte-Bernard
FRXX5596;La Ferte-Chevresis
FRXX5862;La Ferte-Frenel
FRXX1942;La Ferte-Gaucher
FRXX5394;La Ferte-Milon
FRXX0353;La Ferte-Saint-Aubin
FRXX4114;La Ferte-sous-Jouarre
FRXX4133;La Ferte-Vidame
FRXX1091;La Flotte
FRXX5536;La Foret-de-Tesse
FRXX3954;La Foret-Fouesnant
FRXX6040;La Foret-sur-Sevre
FRXX2645;La Fouillouse
FRXX4611;La Foye-Monjault
FRXX2211;La Francheville
FRXX6135;La Franqui-Plage
FRXX3330;La Fresnais
FRXX1241;La Fresnaye-sur-Chedouet
FRXX3129;La Frette-sur-Seine
FRXX2225;La Gacilly
FRXX2017;La Garde
FRXX2036;La Garde-Freinet
FRXX5929;La Garenne-Colombes
FRXX3811;La Garnache
FRXX1019;La Gaude
FRXX5856;La Glacerie
FRXX5859;La Gorgue
FRXX4396;La Grande-Motte
FRXX5662;La Grande-Verriere
FRXX5922;La Grandville
FRXX0214;La Grave
FRXX2644;La Gresle
FRXX3331;La Guerche-de-Bretagne
FRXX1636;La Gueriniere
FRXX0232;La Gurraz
FRXX0112;La Hague
FRXX3530;La Haie-Fouassiere
FRXX5544;La Haye-de-Routot
FRXX3616;La Haye-Pesnel
FRXX4158;La Houssaye-en-Brie
FRXX1644;La Houssiere
FRXX5013;La Houssoye
FRXX5921;La Javie
FRXX4519;La Jonchere-Saint-Maurice
FRXX0520;La Joue du Loup
FRXX3133;La Jumelliere
FRXX6622;La Lande-de-Fronsac
FRXX1907;La Lechere
FRXX1626;La Londe-les-Maures
FRXX4332;La Longine
FRXX0403;La Machine
FRXX3574;La Madeleine
FRXX5505;La Madeleine-de-Nonancourt
FRXX4154;La Madeleine-sur-Loing
FRXX3592;La Mailleraye-sur-Seine
FRXX5489;La Mede
FRXX6732;La Meignanne
FRXX2078;La Membrolle-sur-Choisille
FRXX3837;La Membrolle-sur-Longuenee
FRXX4941;La Monnerie-le-Montel
FRXX1337;La Montagne
FRXX6771;La Mothe-Saint-Heray
FRXX1316;La Motte
FRXX0355;La Motte-Beuvron
FRXX2481;La Motte-Chalancon
FRXX4665;La Motte-du-Caire
FRXX5318;La Motte-en-Bauges
FRXX6417;La Motte-Saint-Jean
FRXX4276;La Motte-Saint-Martin
FRXX4983;La Motte-Servolex
FRXX5832;La Mulatiere
FRXX4679;La Napoule
FRXX2563;La Neuville-du-Bosc
FRXX2026;La Neuville-en-Hez
FRXX3254;La Neuville-en-Tourne-a-Fuy
FRXX3695;La Neuville-les-Bray
FRXX6117;La Neuville-les-Dorengt
FRXX6236;La Noe-Poulain
FRXX0475;La Norma
FRXX6682;La Norville
FRXX3110;La Noue
FRXX2527;La Penne-sur-Huveaune
FRXX5836;La Petite-Pierre
FRXX0233;La Plagne
FRXX0532;La Plagne
FRXX0540;La Plagne Montalbert
FRXX6486;La Plaine-sur-Mer
FRXX6123;La Pointe-de-Contes
FRXX5669;La Pommeraye
FRXX6719;La Queue-en-Brie
FRXX2085;La Queue-les-Yvelines
FRXX1240;La Quinte
FRXX2710;La Ravoire
FRXX4052;La Redonne
FRXX2300;La Renaudie
FRXX0318;La Reole
FRXX2641;La Ricamarie
FRXX2134;La Richardais
FRXX3033;La Riche
FRXX3293;La Riviere-de-Corps
FRXX3088;La Riviere-Drugeon
FRXX5051;La Riviere-Enverse
FRXX3430;La Roche-Blanche
FRXX4714;La Roche-Chalais
FRXX6254;La Roche-de-Glun
FRXX5401;La Roche-de-Rame
FRXX4675;La Roche-des-Arnauds
FRXX6289;La Roche-en-Brenil
FRXX5534;La Rochefoucauld
FRXX5990;La Roche-Guyon
FRXX0044;La Rochelle
FRXX5158;La Roche-Posay
FRXX1036;La Rochepot
FRXX2795;La Roche-sur-Foron
FRXX0158;La Roche-sur-Yon
FRXX3410;La Roche-Vineuse
FRXX6006;La Romagne
FRXX1461;La Romieu
FRXX5001;La Roquebrussanne
FRXX3991;La Roque-d'Antheron
FRXX2742;La Roque-Esclapon
FRXX1018;La Roquette-sur-Siagne
FRXX0476;La Rosiere 1850
FRXX3511;La Salette-Fallavaux
FRXX2406;La Salle les Alpes
FRXX2276;La Salle-de-Vihiers
FRXX1780;La Salvetat-Peyrales
FRXX2185;La Salvetat-Saint-Gilles
FRXX3524;La Salvetat-sur-Agout
FRXX5798;La Sauve
FRXX4439;La Sauvetat
FRXX1686;La Sauvetat-sur-Lede
FRXX1389;La Sauziere-Saint-Jean
FRXX5933;La Seauve-sur-Semene
FRXX1788;La Segalassiere
FRXX1664;La Selle-Craonnaise
FRXX4257;La Selle-sur-le-Bied
FRXX4723;La Selve
FRXX2293;La Sentinelle
FRXX5616;La Serre-Bussiere-Vieille
FRXX0273;La Seyne-sur-Mer
FRXX0344;La Souterraine
FRXX1226;La Suze-sur-Sarthe
FRXX1233;La Tagniere
FRXX4919;La Talaudiere
FRXX0547;La Tania
FRXX0325;La Teste
FRXX5184;La Teste-de-Buch
FRXX3431;La Tour-d'Auvergne
FRXX2863;La Tour-de-Salvagny
FRXX2309;La Tour-du-Pin
FRXX4921;La Tour-en-Jarez
FRXX3031;La Tour-sur-Orb
FRXX0478;La Toussuire
FRXX3023;La Tranche-sur-Mer
FRXX2955;La Tremblade
FRXX2157;La Tricherie
FRXX5872;La Trimouille
FRXX3897;La Trinite
FRXX2297;La Trinite-sur-Mer
FRXX4242;La Turballe
FRXX2965;La Turbie
FRXX1278;La Vaivre
FRXX5002;La Valette-du-Var
FRXX4916;La Valla-en-Gier
FRXX2859;La Vancelle
FRXX3299;La Vernarede
FRXX4030;La Vicomte-sur-Rance
FRXX5799;La Ville-aux-Clercs
FRXX1366;La Villedieu-en-Fontenette
FRXX5332;La Ville-du-Bois
FRXX4022;La Voulte-sur-Rhone
FRXX4391;La Wantzenau
FRXX2620;Labaroche
FRXX6628;Labarthe
FRXX5343;Labarthe-sur-Leze
FRXX5018;Labastide-Beauvoir
FRXX2724;Labastide-de-Penne
FRXX1845;Labastide-de-Virac
FRXX2093;Labastide-du-Temple
FRXX1259;Labastide-du-Vert
FRXX1986;Labastide-Marnhac
FRXX5925;Labastide-Rouairoux
FRXX1388;Labastide-Saint-Georges
FRXX3489;Labastide-Saint-Pierre
FRXX2031;Labastide-Saint-Sernin
FRXX6678;Labatie-d'Andaure
FRXX3568;Labatut-Riviere
FRXX3673;Labege
FRXX3824;Labenne
FRXX2694;Laberaudie
FRXX4982;L'Abergement-de-Cuisery
FRXX3180;Labergement-les-Seurre
FRXX3965;Labergement-Sainte-Marie
FRXX4261;Laboissiere-en-Thelle
FRXX1129;Laborel
FRXX1511;Laboulbene
FRXX3821;Labrit
FRXX4904;Labuissiere
FRXX3721;Lacanau
FRXX4733;Lacapelle-Viescamp
FRXX5920;Lacaune
FRXX5015;Lachapelle-aux-Pots
FRXX4637;Lachapelle-en-Blaisy
FRXX1098;Lachapelle-Graillouse
FRXX4572;Lachapelle-sous-Chaux
FRXX5271;Lachapelle-sous-Rougemont
FRXX2304;Lacoste
FRXX2312;Lacourt-Saint-Pierre
FRXX5744;Lacroix-Saint-Ouen
FRXX5754;Ladeveze-Ville
FRXX5517;Ladoix-Serrigny
FRXX3092;Laferte-sur-Amance
FRXX5348;Laferte-sur-Aube
FRXX3864;Lafitte-sur-Lot
FRXX4266;Lafitte-Vigordane
FRXX1688;Lafox
FRXX4356;Lafrancaise
FRXX5090;Lagarde
FRXX6745;Lagarde-d'Apt
FRXX1356;Lagarde-Hachan
FRXX6452;Lagardelle-sur-Leze
FRXX5209;Lagarrigue
FRXX3361;Lagnieu
FRXX4259;Lagny-le-Sec
FRXX3215;Lagord
FRXX5901;Lagraulet-du-Gers
FRXX5525;Laguenne
FRXX4249;Laguepie
FRXX5022;Laguian-Mazous
FRXX1379;Lahitte
FRXX5663;Laigne-en-Belin
FRXX5042;Laille
FRXX2692;Lailly-en-Val
FRXX1862;Laissey
FRXX1261;Lalbenque
FRXX1704;Lalizolle
FRXX6670;Lallaing
FRXX6078;Laloeuf
FRXX4021;Lalouvesc
FRXX0230;L'Alpe-d'Huez
FRXX4570;Lamadeleine-Val-des-Anges
FRXX3488;Lamagistere
FRXX1427;Lamalou-les-Bains
FRXX5426;Lamanon
FRXX3934;Lamarche-sur-Saone
FRXX4961;Lamativie
FRXX1094;Lamballe
FRXX5054;Lambersart
FRXX5478;Lambesc
FRXX5063;Lambres-lez-Douai
FRXX2439;Lamonzie-Saint-Martin
FRXX3496;Lamorlaye
FRXX4999;Lamothe-Cumont
FRXX6647;Lamotte-Brebiere
FRXX6022;Lamotte-du-Rhone
FRXX2959;Lamotte-Warfusee
FRXX4373;Lampertheim
FRXX4792;Lancieux
FRXX6196;Lancon-Provence
FRXX0045;Landerneau
FRXX2327;Landeronde
FRXX0181;Landes
FRXX2760;Landevant
FRXX3211;Landeyrat
FRXX2441;Landivisiau
FRXX2335;Landivy
FRXX5594;Landouzy-la-Ville
FRXX3654;Landres
FRXX6351;Landrethun-les-Ardres
FRXX5443;Landrevarzec
FRXX2758;Lanester
FRXX2279;Laneuveville-aux-Bois
FRXX2280;Laneuveville-devant-Nancy
FRXX4141;Laneuveville-en-Saulnois
FRXX2845;Laneuveville-les-Lorquin
FRXX3657;Laneuville-sur-Meuse
FRXX3068;Langeais
FRXX6270;Langlade
FRXX5846;Langon
FRXX3016;Langonnet
FRXX0417;Langres
FRXX1085;Langrune-sur-Mer
FRXX4020;Langueux
FRXX6638;Languidic
FRXX0369;Lannemezan
FRXX3952;Lannilis
FRXX5510;Lannion
FRXX3469;Lanslebourg-Mont-Cenis
FRXX5457;Lantenne-Vertiere
FRXX4011;Lanteuil
FRXX3204;Lanthenans
FRXX6620;Lanton
FRXX3203;Lanuejouls
FRXX3370;Lanveoc
FRXX0206;Laon
FRXX1872;Laons
FRXX4690;Lapalisse
FRXX2393;Lapalme
FRXX3833;Lapeyrouse-Fossat
FRXX6343;Lapoutroie
FRXX2854;Lapugnoy
FRXX4801;Largentiere
FRXX1562;Larmor-Baden
FRXX1911;Larmor-Plage
FRXX6704;Laroche-Saint-Cydroine
FRXX3122;Laroque-Timbaut
FRXX1168;Larouillies
FRXX2895;Larroque-Saint-Sernin
FRXX3349;Laruns
FRXX2554;Lasserre-de-Prouille
FRXX2422;Lassouts
FRXX2675;Lastic
FRXX1377;Lathuile
FRXX4362;Latour-Bas-Elne
FRXX2788;Latour-de-Carol
FRXX5069;Latour-de-France
FRXX1882;Lattes
FRXX3412;Lau-Balagnas
FRXX4184;Laudrefang
FRXX4830;Launois-sur-Vence
FRXX1774;Laure-Minervois
FRXX5298;Lauris
FRXX1193;Lautenbach
FRXX2812;Lauwin-Planque
FRXX0159;Laval
FRXX6104;Laval-Atger
FRXX1893;Laval-en-Brie
FRXX0234;Lavalette
FRXX4722;Laval-Pradel
FRXX4093;Lavancia-Epercy
FRXX3206;Lavans-Quingey
FRXX2322;Lavans-sur-Valouse
FRXX5462;Lavans-Vuillafans
FRXX0382;Lavaur
FRXX3073;Lavausseau
FRXX1178;Lavaveix-les-Mines
FRXX5969;Laveline-devant-Bruyeres
FRXX2636;Laventie
FRXX2967;Lavera
FRXX3329;Laverune
FRXX1820;Lavillatte
FRXX4256;Lavoute-Chilhac
FRXX5998;Laxou
FRXX1692;Layrac
FRXX2291;Lay-Saint-Christophe
FRXX3003;Lay-Saint-Remy
FRXX1280;Le Barcares
FRXX2073;Le Barp
FRXX3014;Le Barroux
FRXX3156;Le Bar-sur-Loup
FRXX1099;Le Beage
FRXX1574;Le Bellay-en-Vexin
FRXX6764;Le Bernard
FRXX2931;Le Bez
FRXX5702;Le Bignon
FRXX0339;Le Blanc
FRXX3865;Le Blanc-Mesnil
FRXX2382;Le Bleymard
FRXX6187;Le Bois-Plage-en-Re
FRXX4027;Le Bosc-Roger-en-Roumois
FRXX2102;Le Boulou
FRXX6768;Le Boupere
FRXX4929;Le Bourg-Dun
FRXX1559;Le Bourget
FRXX4985;Le Bourget-du-Lac
FRXX4283;Le Bourg-Saint-Leonard
FRXX5880;Le Bouscat
FRXX1238;Le Breil-sur-Merize
FRXX5413;Le Breuil-en-Auge
FRXX3074;Le Brusquet
FRXX5436;Le Buisson-de-Cadouin
FRXX4064;Le Cailar
FRXX2738;Le Camp du Castellet
FRXX5230;Le Cannet
FRXX1312;Le Cannet-des-Maures
FRXX2838;Le Canon
FRXX1014;Le Castellard-Melan
FRXX1946;Le Chambon-Feugerolles
FRXX6434;Le Chambon-sur-Lignon
FRXX1065;Le Chateau-d'Oleron
FRXX5523;Le Chatelet
FRXX3379;Le Chatelet-en-Brie
FRXX5839;Le Chesnay
FRXX3314;Le Chesne
FRXX5381;Le Collet-de-Deze
FRXX0533;Le Corbier
FRXX5245;Le Coudray-Montceaux
FRXX5587;Le Cres
FRXX0420;Le Creusot
FRXX2549;Le Creux de la Tine
FRXX1287;Le Croisic
FRXX2922;Le Crotoy
FRXX0236;Le Cugnon
FRXX2952;Le Donjon
FRXX1290;Le Doulieu
FRXX6661;Le Faou
FRXX1528;Le Faouet
FRXX0237;Le Fey
FRXX6401;Le Fief-Sauvin
FRXX5675;Le Freney-d'Oisans
FRXX6795;Le Fresne-Camilly
FRXX3885;Le Fugeret
FRXX2388;Le Fuilet
FRXX1386;Le Garric
